id,name,spend_eur,ads_count,party
423911207652417,FDP Dortmund,2749,90,fdp
449843528921679,Georg Te Pass,2745,50,cdu
342626915771942,SPD Essen,2739,25,spd
131868470238091,SPD Bielefeld,3039,34,spd
187394117987834,Bündnis 90/Die Grünen Mecklenburg-Vorpommern,3718,39,gruene
2299270487017208,Andreas Kalbitz,2721,6,afd
210608365644102,SPD Neuss,2869,95,spd
104598324496558,Mathias Krümpel,2713,59,cdu
249288198616,GRÜNE Karlsruhe,2712,138,gruene
479280568919411,Grüne Lippe,2879,156,gruene
139410736082477,Josha Frey MdL,2694,28,gruene
107189775985674,FDP-Fraktion im Niedersächsischen Landtag,2915,123,fdp
194580740596001,SPD Troisdorf,2918,84,spd
192914530744779,Stephan Weil,2685,36,spd
102942124741584,Marco Zerwas,2683,56,gruene
2140740582905024,Michael Ebling,2682,438,spd
768510669914042,Tabea Rößner,2656,46,gruene
103265228734073,Stephan Mayer 2021,2654,70,cdu
698736416893006,Bündnis 90/Die Grünen Kiel,3368,85,gruene
2051860635076941,Arno Enners,2636,294,afd
111098485567058,CDU Soest,2625,21,cdu
121574737887564,CDU Bad Homburg,2867,26,cdu
340332092731147,Svenja Stadler,2608,152,spd
183342321839259,Barbara Meyer-Gluche,2607,37,gruene
217523541326,CDU Hessen,2709,66,cdu
569189106460615,Alternative für Deutschland AfD Bochum,2590,81,afd
98276387039,CDU Stuttgart,2588,12,cdu
792623147583711,Belit Onay,2577,66,gruene
787491308075734,Stadt.Land.Main Würzburg - CSU,2573,76,cdu
107652402721043,CDU Kreisverband Aachen Land,2568,55,cdu
590392897693746,AfD Hamburg-Nord,2556,54,afd
102459227929518,Benjamin Fadavian,2547,37,spd
442503965827807,Grüne Mainz,5637,173,gruene
128900213902599,Grüne Goch,2544,91,gruene
105010608261632,CDU Kreisverband Osterholz,2532,24,cdu
342310560274,FDP Forchheim,2521,10,fdp
101889895217340,Peggy Schierenbeck,2515,78,spd
132906746879583,CSU Kreisverband Erding,2507,14,cdu
224759004224478,BÜNDNIS 90/DIE GRÜNEN Halle (Saale),5796,205,gruene
1675002419400572,Andrea Bogner-Unden MdL,2505,43,gruene
1586557444966728,Olaf Schade,2500,29,spd
113959368688613,SPD-Landtagsfraktion Saarland,2497,150,spd
1424640187844980,SPD Unterbezirk in der Städteregion Aachen,2496,89,spd
107748367784673,Dorothea Kliche-Behnke,2489,59,spd
457211171523961,SPD Johannis,2485,46,spd
394438254050576,Uwe Richrath,2480,29,spd
159683230832657,CDU Rietberg,2464,36,cdu
100988611709531,Bürgerteam FDP Bocholt,2460,52,fdp
100812792050185,Claudio Provenzano,2454,44,spd
414164615335900,Grüne Landkreis Augsburg,2544,17,gruene
413548832162264,Hermino Katzenstein,2438,31,gruene
405649426170243,Grüne Ravensburg,4777,233,gruene
456516127773656,BÜNDNIS 90/DIE GRÜNEN Ahrweiler,2573,128,gruene
123350685201,SPD Münster,2429,71,spd
106054474731777,Oliver Hildenbrand,2415,31,gruene
197241540388961,CDU Hennef - Die Hennefpartei.,2559,109,cdu
215574145176015,SPD-Fraktion Leverkusen,2410,91,spd
206375486064212,DIE LINKE. Ingolstadt,2406,75,linke
225396970851470,Grüne Paderborn,4316,141,gruene
342930772424635,FDP Karlsruhe-Stadt,2387,68,fdp
235730966607664,Claudio Griese,2386,32,cdu
1931006000456181,FDP Burgdorf-Uetze,2866,104,fdp
360162814034907,Dr. Michael von Abercron,2379,3,cdu
344646145674681,Grüne Gütersloh,3731,138,gruene
1864377573854528,Grüne Segeberg,2367,129,gruene
110332583792510,Andreas Moring FDP,2367,38,fdp
613944289072438,Bündnis 90/Die Grünen KV Bodenseekreis,2358,87,gruene
608692872546882,SPD Soest,2357,18,spd
156224554544708,Bündnis 90/Die Grünen Rd-Eck,2343,155,gruene
106187034782341,Robert Wiest,2343,42,gruene
166140796751166,Bündnis 90/Die Grünen Nürnberg,2339,151,gruene
498550173567592,AfD Essen,2315,23,afd
117336183727777,Kim Fürwentsches,2312,30,gruene
115207666693901,GRÜNE Kreis Recklinghausen,3793,195,gruene
393300997508450,Andrea Schröder-Ritzrau,2301,10,spd
492112370837905,Die Grünen KV Coburg-Stadt,3117,108,gruene
111080489096209,SPD Würselen,2292,91,spd
1642068702709637,Dr. Stefan Fulst-Blei MdL,2287,21,spd
545983288833393,Grüne Heilbronn,2285,128,gruene
1053646904666813,Simone Borchardt,2277,15,cdu
107045650764452,Niklas Frigger - Ratsherr und stellv. Bürgermeister in Brilon,2277,16,cdu
103361361921350,Mathias Zeuner FDP,2276,18,fdp
2290009677733536,Die Grünen Rosenheim-Stadt,2275,15,gruene
292735514132617,GRÜNE im Kreis Herford,2271,153,gruene
286041075427675,Lothar Zachmann,2268,25,cdu
302077876517632,Bündnis 90/Die Grünen Freiburg,3057,176,gruene
166760213476486,AfD Thüringen,3263,54,afd
176769343562,SPD Haan,2251,29,spd
110599178974216,SPD Altona,2242,29,spd
115502389841173,"Florian Köhn, CSU",2399,131,cdu
159474940754336,Grüne Jugend,2238,8,gruene
1993045977441166,FDP Amtsverband Nahe-Glan,3682,113,fdp
217240221654203,Gunther Krichbaum,2209,45,cdu
307579442621928,SPD Waldeck-Frankenberg,2207,58,spd
199517326737409,FDP Unterfranken,2206,33,fdp
457999288024311,Susanne Bay,4216,102,gruene
154115737974817,Die Grünen Kreis Viersen,2191,135,gruene
178737855499666,GRÜNE Hamburg-Mitte,2503,174,gruene
277110159132558,Bärbel Dittrich,2180,19,spd
101392435200440,Petra Olschowski MdL,2167,31,gruene
1434045933475301,BÜNDNIS 90 / DIE GRÜNEN - Kreisverband Potsdam Mittelmark,2163,271,gruene
68029851352,SPD Bonn,2162,62,spd
491777120899479,Heute für Morgen,2159,71,cdu
241204999236195,Bündnis 90/Die Grünen Tempelhof-Schöneberg,3024,167,gruene
1491699237825651,CDU Maintal,2157,27,cdu
290897990187,Ines Springer MdL,2153,10,cdu
106286781522499,Jörg Bernstein MdL,2146,76,fdp
247604555352058,SPD Verden,2142,84,spd
156839244392425,Bündnis 90/Die Grünen Mittelsachsen,2443,114,gruene
340889677403,Grüne Duisburg,2132,48,gruene
101495919923314,Grüne Neukölln,4112,189,gruene
1527271330697247,Tobias Matthias Peterka - MdB,2100,4,afd
308041569255,CDU Dresden,3586,30,cdu
101755125064696,AfD Fraktion Herne,2090,22,afd
642283985808604,Bündnis 90/Die Grünen Ulm,3881,178,gruene
400752359969204,FDP Remscheid,2086,59,fdp
342607209121004,Grüne Kreis Coesfeld,2083,175,gruene
104824124853030,Isabel Cademartori,2080,16,spd
221735951207012,Bündnis 90/Die Grünen Kreisverband Rostock,3122,138,gruene
108881840642618,Eva Kirchhoff,2075,62,cdu
113222213932717,Bündnis 90/ Die Grünen Kreisverband Pforzheim und Enzkreis,2066,152,gruene
257037997640048,FDP Rheda-Wiedenbrück,2065,70,fdp
369788469704917,Bündnis 90/Die Grünen Kelheim,2199,116,gruene
748790975178137,AfD-Kreisverband Neuwied,2437,16,afd
104254297749998,Andreas Winterer,2037,15,spd
168506600007036,AfD Kreisverband Gießen,2031,172,afd
506922629367474,AfD Wiesbaden,2571,14,afd
1189067121115331,Grüne Kreisverband Unna,2030,243,gruene
244652628953985,Bündnis 90/Die Grünen Neuss,2027,72,gruene
152190608236782,Grüne Kreisverband Starnberg,2019,108,gruene
212525098812757,Bündnis 90/Die Grünen Ennepetal,2014,49,gruene
179649492694260,AfD Hamburg-Bergedorf,2503,181,afd
213350178783127,Grüne Düren,4165,199,gruene
106631297626608,SPD Harsefeld,2006,45,spd
359575580785883,GRÜNE Münster,2002,46,gruene
102505911172634,Olga Petersen AfD,1997,122,afd
104474547975226,Jörg Thelaner,1996,17,cdu
522437804529268,Grüne Halle Westfalen,1994,74,gruene
160705637324870,SPD Eschweiler,2302,122,spd
10150158634595002,Grüne Augsburg,1984,49,gruene
1451477971787433,CDU Ahlen,2265,37,cdu
357340074316038,Grüne Kreis Kleve,2820,243,gruene
205409269649413,SPD Dinslaken,1948,28,spd
262759890577614,SPD Butzbach,1940,68,spd
101311178864729,Die Grünen - Kreisverband Stade,1934,266,gruene
338599714529,CSU Bayreuth-Stadt,2210,27,cdu
477603909116314,CSU Nördlingen,1928,82,cdu
2285393051781757,SPD Rosenheim-Stadt,1917,42,spd
110949757892446,Wilhelm Gebhard - Ihr Bundestagskandidat,1916,26,cdu
107077204373269,SPD Wipperfürth,1910,42,spd
500419146648551,Bündnis 90/ Die Grünen KV Biberach an der Riß,2199,190,gruene
142004422534101,CDU  Mecklenburg-Vorpommern (CDU MV),1903,33,cdu
154079088364952,SPD Paderborn,1900,67,spd
101643888831484,Bündnis 90/Die Grünen Kreisverband Cuxhaven,1898,150,gruene
102444808623342,Bündnis 90/die Grünen Kreisverband Diepholz,1898,167,gruene
110938070669531,Christian Holz - Gut Holz für Waren Müritz,1894,25,cdu
109997953867044,Christian Eberle,1894,27,cdu
114114670302742,Carsten Möller,1878,20,fdp
420751304956832,Bündnis 90/Die Grünen Landkreis Miesbach,2030,40,gruene
1809612912702100,Freie Demokraten Marburg-Biedenkopf,1873,65,fdp
156844567712714,FDP im Stadtrat Neu-Ulm,2066,100,fdp
